E,L,M,S,R,H,A,Y
Nuevo Leon,90.48225999,0,2.197377692,1.164286966,5.050950601,0,-13.74390552
Nuevo Leon,52.69888196,0,0.907492241,-1.580370694,6.674296839,0,0.821009697
Nuevo Leon,48.66539506,0,-1.499291781,1.803471845,10.04312136,0,15.28791096
Nuevo Leon,33.22196313,1,-1.057999323,0.238949702,19.8406487,0,14.99071374
Nuevo Leon,93.19638505,0,-2.486237975,7.523379956,8.247012314,0,-6.913072965
Nuevo Leon,43.01320321,1,-14.64664432,2.640277332,14.17302007,0,-18.06037988
Nuevo Leon,80.25053392,0,-1.720578823,3.564926868,24.20936274,0,-18.36018663
Nuevo Leon,87.72108265,0,11.95414343,3.003088623,6.765577706,0,-18.44592335
Nuevo Leon,51.09625155,0,1.167061739,1.055119537,9.69421444,0,-11.16151576
Nuevo Leon,40.8437513,1,-1.634690559,-0.063809311,16.7583719,0,-2.433616399
Nuevo Leon,28.89048081,1,0.938112395,-2.702581132,15.71770372,0,-7.081789274
Nuevo Leon,42.00688096,0,4.866081817,-0.492985896,8.535771215,0,3.087788291
Nuevo Leon,32.41637159,0,2.608724287,0.847803188,17.20982524,0,2.715776879
Nuevo Leon,43.56480829,0,1.346983088,-0.378181405,13.11418922,0,-13.33228742
Nuevo Leon,66.5837256,0,8.779818867,1.235842528,6.914312202,0,-5.290693206
Nuevo Leon,67.9178546,0,-1.164062686,1.341387845,5.049078056,0,3.445626229
Sonora,63.42898359,0,5.555747818,2.032832812,14.43291987,0,2.418885717
Sonora,40.3499643,1,-2.853132902,3.343981856,24.85379301,1,4.821970943
Sonora,71.91025427,0,4.035112613,0.911556155,11.26100224,0,1.99689497
Sonora,64.95560246,0,7.785027261,1.223473052,21.81168364,1,-17.35366631
Sonora,74.87155522,0,3.825596331,-0.641493989,15.29170543,0,-1.905716827
Sonora,78.96350515,0,28.1271201,4.659236089,20.38564471,0,-19.8178482
Sonora,99.95744323,0,-1.035535546,3.521015926,17.20057182,0,-20.1470669
Sonora,84.37701724,0,3.930503662,2.924622246,15.41382256,0,3.15655851
Sonora,95.96954674,0,9.539260648,1.933339792,17.37548914,0,-1.790440877
Sonora,72.74030538,0,7.333844926,-1.030815811,19.87590547,0,12.52883548
Sonora,81.75650863,0,6.893496147,1.834391876,11.65023492,0,-1.358994762
Sonora,57.01120999,0,1.435369825,-0.928248818,16.75323628,0,-0.487478082
Sonora,65.01890702,0,18.7965248,7.284202343,8.024837842,0,-8.287302329
Sonora,70.65595633,0,-2.568467214,2.723740236,11.3303567,0,3.083911314
Sonora,78.71031866,0,10.07938885,2.806361581,38.40708214,0,-0.272352256
Sonora,61.71684612,0,1.607878578,1.488820458,5.847280162,0,12.77379831
Sonora,52.66993453,1,-0.861119006,1.233161845,22.27433629,1,-15.45817321
Sonora,44.16491976,1,-0.258129174,-2.431480794,14.09284864,0,-20.90245057
Sonora,48.48240555,1,-2.24384256,-1.223376264,8.031689338,1,-24.36278892
Sonora,61.62561844,0,0.211927358,-2.917843004,18.18856555,0,18.88602266
Sonora,61.32510225,0,17.24168279,7.690245462,17.25325497,0,-12.54032219
Sonora,67.18077296,0,-18.03533657,5.367171853,13.50289159,0,10.29514117
Sonora,61.21690239,0,2.433068918,0.818181143,2.081811488,0,-0.850999703
Sonora,83.42172258,0,5.393600098,1.844745895,5.781740691,0,-1.426886485
Sonora,40.86832053,1,1.223241421,3.645872626,15.67862891,0,22.48376459
Sonora,60.4856248,0,-0.153430507,-4.204942237,13.42603808,0,-5.494582316
Sonora,48.51411352,0,-6.454947277,0.620048355,12.86980707,0,30.53475837
Sonora,70.2085191,0,8.120870643,2.368662547,11.20477608,0,9.308910047
Sonora,39.79557139,1,1.497580505,1.344924172,16.32958205,0,25.17454051
Sonora,37.67357082,1,-0.177598578,-2.142264466,16.38066555,0,-16.12041593
Sonora,80.89637555,0,3.089960203,0.313322307,13.30087781,0,-2.010293508
Sonora,64.78123894,0,3.146670138,1.273103923,13.21391293,0,16.21870182
Sonora,63.3915239,0,0.293955404,-1.708725163,10.73402262,0,-11.10324303
Sonora,62.26134481,0,1.671766792,-0.330243169,4.836065574,0,22.72369786
Sonora,62.10661275,1,10.71632273,-0.215878293,24.83578377,0,-9.206823153
Sonora,48.71863343,0,-0.987089612,0.195705782,17.16062461,0,9.324345371
Sonora,60.86451725,0,0.703295126,7.114600314,28.25798664,0,25.49244494
Sonora,66.55690299,0,0.203098245,2.094415186,1.948551922,0,-6.772657642
Sonora,53.30374301,0,4.363403211,3.517330464,27.62134835,1,15.80860762
Sonora,76.68325901,0,4.402397478,0.268788813,21.57580416,0,7.448217055
Sonora,38.63107838,1,0.175240991,-0.953132861,6.175357532,0,13.01897187
Sonora,48.06415518,1,0.230304811,-1.751459254,11.64315484,0,-5.781693095
Sonora,37.97143438,1,0.022567028,-2.70423367,15.47052456,1,-6.206103269
Sonora,77.63653439,0,22.20888885,-0.512015785,36.25382323,0,9.733981206
Sonora,72.68026168,0,1.98665952,2.900347483,20.52567484,0,6.690248312
Sonora,81.04802594,0,2.585663308,3.275678416,27.27049583,0,-2.611962933
Sonora,52.62773847,0,-6.261565193,0.508563951,12.0534423,0,5.67339164
Sonora,54.12269958,0,3.684661637,1.250829523,21.56801488,1,-5.339592408
Sonora,75.16859467,0,9.087366242,2.599586715,11.8468363,0,-5.330169758
